sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
http://www.mariachiaragadda.it,GADDA Maria Chiara,https://twitter.com/mcgadda,PD,https://www.facebook.com/MariaChiaraGadda,305553
,IOVINO Luigi,,M5S,https://it-it.facebook.com/Luigi.IovinoM5S/,307208
,MACCANTI Elena,https://twitter.com/elmac71,LEGA,https://www.facebook.com/elena.maccanti.5,302980
,NOVELLI Roberto,https://twitter.com/@novelliroberto,FI,,307378
,PROVENZA Nicola,,M5S,,307537
http://www.andreademaria.eu,DE MARIA Andrea,,PD,,305698
,BADOLE Mirco,,LEGA,,307691
http://www.emanueleprisco.it/,PRISCO Emanuele,https://twitter.com/emanueleprisco,FDI,https://www.facebook.com/emanuele.prisco.7,307452
http://www.francescabonomo.eu/,BONOMO Francesca,https://twitter.com/frabonomo,PD,https://www.facebook.com/francescabonomopd,305563
http://www.francescoduva.it,D'UVA Francesco,https://twitter.com/F_DUva,M5S,https://www.facebook.com/duva5stelle,306085
http://www.albertogusmeroli.it/,GUSMEROLI Alberto Luigi,https://twitter.com/a_gusmeroli,LEGA,https://www.facebook.com/alberto.gusmeroli,307475
http://www.mattiafantinati.it,FANTINATI Mattia,,M5S,https://www.facebook.com/MattiaFantinati,305612
http://www.liaquartapelle.it,QUARTAPELLE PROCOPIO Lia,,PD,,306189
http://www.manueltuzi.it,TUZI Manuel,,M5S,https://www.facebook.com/ManuelTuziM5S/,307443
,MUSELLA Graziano,,FI,,307651
,ASCARI Stefania,,M5S,,307302
,AZZOLINA Lucia,,M5S,https://www.facebook.com/LuciaAzzolina82,307530
,SUT Luca,,M5S,,307382
http://www.annaascani.it,ASCANI Anna,https://twitter.com/AnnaAscani,PD,https://www.facebook.com/AnnaAscaniPD,305704
http://www.giovannilucarestam5s.it/,ARESTA Giovanni Luca,https://twitter.com/glaresta?s=08,M5S,https://www.facebook.com/GiovanniLucaAresta.Portavoce/,307368
,APREA Valentina,,FI,,35050
,ANZALDI Michele,,PD,,305946
,ANGIOLA Nunzio,,M5S,https://www.facebook.com/nunzioangiola1969/,307294
,APRILE Nadia,,M5S,,307365
,ANGELUCCI Antonio,,FI,,302942
,ANNIBALI Lucia,,PD,,307597
,ANDREUZZA Giorgia,,LEGA,,307686
,AMITRANO Alessandro,,M5S,https://www.facebook.com/alessandroamitranom5s,307206
,ALEMANNO Maria Soave,,M5S,,307364
,ALAIMO Roberta,,M5S,,307114
,AIELLO Davide,,M5S,,307394
,ACUNZO Nicola,,M5S,https://it-it.facebook.com/nicolaacunzo.it/,307538
,ADELIZZI Cosimo,,M5S,https://www.facebook.com/CosimoAdelizziM5S,307559
,AIELLO Piera,,M5S,https://www.facebook.com/piera.aiello.98,307119
,ACQUAROLI Francesco,,FDI,https://www.facebook.com/francesco.acquaroli.39,307171
,TURRI Roberto,,LEGA,,307589
,TRIZZINO Giorgio,,M5S,https://www.facebook.com/GiorgioTrizzino/,307113
,TROIANO Francesca,,M5S,,307352
,TRIPODI Elisa,,M5S,,307105
,TUCCI Riccardo,,M5S,,307726
,TRANO Raffaele,,M5S,,307486
,TRAVERSI Roberto,,M5S,https://www.facebook.com/RobertoTraversiM5s,307132
,TRIPODI Maria,,FI,,307728
,TRIPIEDI Davide,,M5S,https://www.facebook.com/tripiedi,306230
