,nome_cognome,sigla_partito,id_senatore,website_1,twitter_1,facebook_1,youtube_1,instagram_1,linkedin_1,website_2
32,Maria Elisabetta ALBERTI CASELLATI,FI-BP,32,,,,,,,
321,Emma BONINO,Misto,321,,,,,,,
356,Umberto BOSSI,L-SP-PSd'Az,356,,,,,,,
422,Roberto CALDEROLI,L-SP-PSd'Az,422,,,,,,,
520,Pier Ferdinando CASINI,"Aut (SVP-PATT, UV)",520,http://www.pierferdinandocasini.it/,https://twitter.com/Pierferdinando,https://www.facebook.com/pierferdinandocasini/,https://www.youtube.com/iocentrotv,,,
1103,Maurizio GASPARRI,FI-BP,1103,http://www.gasparri.it,https://twitter.com/gasparripdl,https://www.facebook.com/pages/Maurizio-Gasparri/352871043599,,,,
1275,Ignazio LA RUSSA,FdI,1275,,,,,,,
1407,Lucio MALAN,FI-BP,1407,http://www.luciomalan.it,https://twitter.com/luciomalan,https://www.facebook.com/senatoreluciomalan/,https://www.youtube.com/user/luciomalanofficial,https://www.instagram.com/luciomalan.sen/,,
1458,Andrea MARCUCCI,PD,1458,http://www.andreamarcucci.it,,,,,,
1672,Giorgio NAPOLITANO,"Aut (SVP-PATT, UV)",1672,,,,,,,
1686,Riccardo NENCINI,Misto,1686,,,,,,,
2064,Paolo ROMANI,FI-BP,2064,,,,,,,
2444,Adolfo URSO,FdI,2444,,,,,,,
3939,Renato SCHIFANI,FI-BP,3939,,,,,,,
4192,Claudio FAZZONE,FI-BP,4192,,,,,,,
4351,Gianclaudio BRESSA,"Aut (SVP-PATT, UV)",4351,,,,,,,
4373,Luigi CESARO,FI-BP,4373,,,,,,,
4512,Adriano PAROLI,FI-BP,4512,,,,,,,
4522,Gianni PITTELLA,PD,4522,http://www.giannipittella.com,https://twitter.com/giannipittella/,https://www.facebook.com/giannipittella,https://www.youtube.com/user/giannipittella,https://www.instagram.com/giannipittella/,,
4584,Luigi VITALI,FI-BP,4584,,https://twitter.com/vitali_l,https://www.facebook.com/profile.php?id=100009325336147,,https://www.instagram.com/on.vitali/,,
